CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,JURIS_DESC,BORO_NM,ADDR_PCT_CD,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,PARKS_NM,HADEVELOPT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
734647161,02/16/2016,14:50:00,02/16/2016,14:55:00,02/16/2016,105,ROBBERY,388.0,"ROBBERY,RESIDENTIAL COMMON AREA",COMPLETED,FELONY,N.Y. HOUSING POLICE,MANHATTAN,25.0,INSIDE,RESIDENCE - PUBLIC HOUSING,nan,LINCOLN,1001769.0,234797.0,40.811130194,-73.936714506,"(40.811130194, -73.936714506)"
282050092,02/06/2016,07:30:00,02/06/2016,08:03:00,02/06/2016,347,INTOXICATED & IMPAIRED DRIVING,905.0,"INTOXICATED DRIVING,ALCOHOL",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,43.0,FRONT OF,STREET,nan,nan,1022093.0,244575.0,40.837904322,-73.863239509,"(40.837904322, -73.863239509)"
910440558,02/10/2016,18:25:00,02/10/2016,18:30:00,02/10/2016,351,CRIMINAL MISCHIEF & RELATED OF,258.0,"CRIMINAL MISCHIEF 4TH, GRAFFIT",COMPLETED,MISDEMEANOR,N.Y. HOUSING POLICE,BRONX,49.0,INSIDE,RESIDENCE - PUBLIC HOUSING,nan,EASTCHESTER GARDENS,1024464.0,256307.0,40.870094652,-73.854600523,"(40.870094652, -73.854600523)"
660334050,02/27/2016,18:45:00,02/27/2016,19:15:00,02/27/2016,109,GRAND LARCENY,421.0,"LARCENY,GRAND FROM VEHICLE/MOTORCYCLE",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,90.0,REAR OF,STREET,nan,nan,998421.0,194507.0,40.700550422,-73.94889398,"(40.700550422, -73.94889398)"
758673630,03/09/2016,22:26:00,03/10/2016,04:33:00,03/09/2016,344,ASSAULT 3 & RELATED OFFENSES,101.0,ASSAULT 3,COMPLETED,MISDEMEANOR,OTHER,BROOKLYN,88.0,INSIDE,OTHER,nan,nan,989291.0,192796.0,40.695864034,-73.981822445,"(40.695864034, -73.981822445)"
411294776,03/06/2016,16:00:00,03/06/2016,16:30:00,03/06/2016,341,PETIT LARCENY,333.0,"LARCENY,PETIT FROM STORE-SHOPL",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,40.0,INSIDE,CHAIN STORE,nan,nan,1006853.0,233369.0,40.807199186,-73.918353502,"(40.807199186, -73.918353502)"
293015042,03/01/2016,06:30:00,nan,nan,03/01/2016,341,PETIT LARCENY,321.0,"LARCENY,PETIT FROM AUTO",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,75.0,FRONT OF,STREET,nan,nan,1014967.0,176986.0,40.652417297,-73.889301015,"(40.652417297, -73.889301015)"
943819932,01/21/2016,18:40:00,01/21/2016,18:50:00,01/21/2016,344,ASSAULT 3 & RELATED OFFENSES,101.0,ASSAULT 3,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,44.0,INSIDE,GROCERY/BODEGA,nan,nan,1005146.0,240722.0,40.827385306,-73.924496737,"(40.827385306, -73.924496737)"
195225380,03/30/2016,18:30:00,03/30/2016,18:30:00,03/30/2016,230,JOSTLING,464.0,JOSTLING,COMPLETED,MISDEMEANOR,N.Y. TRANSIT POLICE,MANHATTAN,14.0,nan,TRANSIT - NYC SUBWAY,nan,nan,986061.0,213320.0,40.752198698,-73.993465045,"(40.752198698, -73.993465045)"
517651076,03/25/2016,00:40:00,03/25/2016,01:00:00,03/25/2016,118,DANGEROUS WEAPONS,793.0,WEAPONS POSSESSION 3,COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,25.0,nan,STREET,nan,nan,1002134.0,229289.0,40.796011517,-73.935410624,"(40.796011517, -73.935410624)"
550947136,01/31/2016,18:38:00,01/31/2016,18:48:00,02/01/2016,109,GRAND LARCENY,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,62.0,FRONT OF,RESIDENCE-HOUSE,nan,nan,987603.0,165035.0,40.619666976,-73.987923559,"(40.619666976, -73.987923559)"
757242264,03/15/2016,20:30:00,nan,nan,03/15/2016,359,OFFENSES AGAINST PUBLIC ADMINI,749.0,VIOLATION OF ORDER OF PROTECTI,COMPLETED,MISDEMEANOR,N.Y. HOUSING POLICE,BRONX,47.0,INSIDE,RESIDENCE - PUBLIC HOUSING,nan,BOSTON SECOR,1030304.0,261267.0,40.88367976,-73.833450905,"(40.88367976, -73.833450905)"
689113492,01/13/2016,19:00:00,nan,nan,01/13/2016,578,HARRASSMENT 2,638.0,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,N.Y. POLICE DEPT,STATEN ISLAND,122.0,FRONT OF,RESIDENCE-HOUSE,nan,nan,958311.0,152909.0,40.586346245,-74.093390028,"(40.586346245, -74.093390028)"
748443819,02/03/2016,03:00:00,02/03/2016,03:01:00,02/03/2016,344,ASSAULT 3 & RELATED OFFENSES,101.0,ASSAULT 3,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,45.0,FRONT OF,STREET,nan,nan,1034957.0,237466.0,40.818327694000004,-73.816803764,"(40.818327694, -73.816803764)"
926215387,01/18/2016,20:00:00,01/19/2016,08:00:00,01/19/2016,351,CRIMINAL MISCHIEF & RELATED OF,258.0,"CRIMINAL MISCHIEF 4TH, GRAFFIT",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,75.0,FRONT OF,STREET,nan,nan,1016084.0,181674.0,40.665280872,-73.885253353,"(40.665280872, -73.885253353)"
631611790,03/28/2016,05:10:00,03/28/2016,05:15:00,03/28/2016,106,FELONY ASSAULT,109.0,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,72.0,nan,STREET,nan,nan,983655.0,177166.0,40.652964608000005,-74.00214577,"(40.652964608, -74.00214577)"
920760117,03/20/2016,14:12:00,03/20/2016,14:18:00,03/20/2016,341,PETIT LARCENY,333.0,"LARCENY,PETIT FROM STORE-SHOPL",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,84.0,INSIDE,DEPARTMENT STORE,nan,nan,986598.0,190448.0,40.68942044,-73.991534838,"(40.68942044, -73.991534838)"
462665686,02/03/2016,23:00:00,02/04/2016,00:30:00,02/04/2016,236,DANGEROUS WEAPONS,782.0,"WEAPONS, POSSESSION, ETC",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,75.0,INSIDE,BAR/NIGHT CLUB,nan,nan,1013064.0,186592.0,40.678790016,-73.896118141,"(40.678790016, -73.896118141)"
648172955,02/19/2016,03:00:00,02/19/2016,03:30:00,02/19/2016,105,ROBBERY,386.0,"ROBBERY,PERSONAL ELECTRONIC DEVICE",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,18.0,INSIDE,HOTEL/MOTEL,nan,nan,988902.0,215659.0,40.758617621999996,-73.983209467,"(40.758617622, -73.983209467)"
433559636,03/20/2016,01:25:00,03/20/2016,01:30:00,03/20/2016,578,HARRASSMENT 2,638.0,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,N.Y. POLICE DEPT,BROOKLYN,66.0,FRONT OF,STREET,nan,nan,987601.0,174014.0,40.644312436,-73.987926306,"(40.644312436, -73.987926306)"
509075125,03/23/2016,14:00:00,nan,nan,03/24/2016,109,GRAND LARCENY,402.0,"LARCENY,GRAND BY FALSE PROMISE-NOT IN PERSON CONTACT",COMPLETED,FELONY,N.Y. POLICE DEPT,BRONX,46.0,INSIDE,RESIDENCE - APT. HOUSE,nan,nan,1011816.0,251433.0,40.856765560999996,-73.900351634,"(40.856765561, -73.900351634)"
136445186,03/28/2016,21:30:00,03/28/2016,21:36:00,03/28/2016,109,GRAND LARCENY,415.0,"LARCENY,GRAND FROM PERSON,PICK",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,18.0,FRONT OF,STREET,nan,nan,987706.0,217218.0,40.762897226,-73.987525779,"(40.762897226, -73.987525779)"
522439391,03/01/2016,12:45:00,03/01/2016,18:20:00,03/01/2016,107,BURGLARY,221.0,"BURGLARY,RESIDENCE,DAY",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,70.0,INSIDE,RESIDENCE - APT. HOUSE,nan,nan,996928.0,163282.0,40.614846919,-73.954337157,"(40.614846919, -73.954337157)"
309637081,03/27/2016,16:00:00,03/27/2016,17:15:00,03/27/2016,109,GRAND LARCENY,421.0,"LARCENY,GRAND FROM VEHICLE/MOTORCYCLE",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,62.0,nan,STREET,nan,nan,982580.0,161999.0,40.611334258,-74.006016217,"(40.611334258, -74.006016217)"
